Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Please select the most relevant choice.,Please select the option that best applies to you.,What musical instrument(s) do you play?,How long have you been playing?,HowLongPlayingFormatted,How many hours per day do you currently play your instrument(s)?,HoursPerDayFormatted,How many hours per day or per week do you currently play your instrument(s)? (Please specify per day,What are your major musical genres? - Selected Choice,What are your major musical genres? - Other - Text,When did you initiate your career in conducting and how?,Please state your music experience in the levels of music training given below. - High school - Music experience,Please state your music experience in the levels of music training given below. - Some college - Music experience,Please state your music experience in the levels of music training given below. - Associate’s degree - Music experience,Please state your music experience in the levels of music training given below. - Bachelor’s degree - Music experience,Please state your music experience in the levels of music training given below. - Master's degree - Music experience,Please state your music experience in the levels of music training given below. - PhD or professional degree - Music experience,"If applicable, what other types of musical training did you receive?","Have you completed any music examinations, juries, or received awards?","When, where, and which ones? (Referring to music examinations, juries, awards)",What are the most enjoyable aspects of your musical life?,What are some of your most vivid music-related memories?,"Do you have memories that also include specific musical moments (performing, listening, etc.)?",Can a piece of music take you to a different place and time?,Please share some examples of music making taking you to a different place and time.,With whom do you play music?,Are there any musicians in your family or amongst your friends?,How has your family's/friend's musicianship impacted you?,How has COVID-19 affected your ability to be a musician?,Which of the following performance and rehearsal options are currently available to you?,PRIVLESSONSPre,PRIVLESSONSDuring,COURSEWORKPre,COURSEWORKDuring,WARMUPPre,WARMUPDuring,FORMALTRAININGPre,FORMALTRAININGDuring,PERFORMANCEPre,PERFORMANCEDuring,REHEARSALPre,REHEARSALDuring,In what way has COVID-19 affected your income from music?,In what way has COVID-19 affected available rehearsal/practice space for you?,In what way has COVID-19 affected your motivation to play?,Please share any additional information on how COVID-19 has affected your ability to be a musician?,"Please list all of the countries where you have lived and the length of time, including your birthplace.",Please list the first language(s) of your parent(s)/guardian(s).,Where did your parent(s)/guardian(s) grow up?,What languages(s) does your family use with you (distinguish context if different for each language)?,"What exposure have you had to your first language, second language, ... n-th language in your family?","What exposure have you had to your first language, second language, ... n-th language in your community?","What exposure have you had to your first language, second language, ... n-th language in your study/living abroad?",In which countries do you have relatives and friends whom you visit frequently?,How has COVID-19 affected your ability to interact as a bi/multilingual and use languages?,In what way has COVID-19 affected your accessibility to persons in your bi- and multilingual communities?,In what way has COVID-19 affected travel for you?,In what ways has COVID-19 impacted your interactions with others in general?,In what ways has COVID-19 impacted your income?,In what ways has COVID-19 impacted your course delivery of language courses?,Please share any comments about language learning and/or teaching during COVID-19 if you are a student or teacher.,HIGHSCHOOLLANGSTUDIED,HIGHSCHOOLSEMESTERS,HIGHSCHOOLINSTRUCTION,SOMECOLLEGELANGSTUDIED,SOMECOLLEGESEMESTERS,SOMECOLLEGEINSTRUCTION,ASSOCIATESLANGSTUDIED,ASSOCIATESSEMESTERS,ASSOCIATESINSTRUCTION,BACHELORSLANGSTUDIED,BACHELORSSEMESTERS,BACHELORSINSTRUCTION,MASTERSLANGSTUDIED,MASTERSSEMESTERS,MASTERSINSTRUCTION,PHDLANGSTUDIED,PHDSEMESTERS,PHDINSTRUCTION,"Have you taken the SAT-II, IB, AP, Oral Proficiency, TOEFL, or other standardized tests of a language? If so, please list the test and your scores.",Why did you decide to learn your second language?,"Do you have ADHD /ADD or any other learning disorders or cognitive impairment? If yes, please explain.","Do you have any history of hearing or visual problems?  If yes, please explain.",FIRSTPROFICIENCY,FIRSTAGE,FIRSTOFTENREAD,FIRSTOFTENWRITE,FIRSTOFTENSPEAK,FIRSTOFTENLISTEN,SECONDPROFICIENCY,SECONDAGE,SECONDOFTENREAD,SECONDOFTENWRITE,SECONDOFTENSPEAK,SECONDOFTENLISTEN,THIRDPROFIENCY,THIRDAGE,THIRDOFTENREAD,THIRDOFTENWRITE,THIRDOFTENSPEAK,THIRDOFTENLISTEN,FOURTHPROFICIENCY,FOURTHAGE,FOURTHOFTENREAD,FOURTHOFTENWRITE,FOURTHOFTENSPEAK,FOURTHOFTENLISTEN,Age,Gender
9/18/20 19:35,9/18/20 19:56,IP Address,76.211.117.220,100,1263,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"India -24 yrs
Usa- 21 yrs","Hindi , Punjabi, English",India,Hindi and english,Speak hindi and english at home,Speak hindi and english in community ,Speak hindi and english in study abroad,India,Not affected ,Negative,Negative,Negative,,,N/A,"English, hindi",8,"English, hindi","English, hindi",8,"English, hindi ",,,,English,6,English,,,,,,,No,Moving to different country,,No,Hindi ,2,7,4,7,7,English,5,7,7,7,7,Punjabi ,4,1,1,1,7,,,,,,,44,Female
9/19/20 6:43,9/19/20 6:53,IP Address,152.3.43.49,100,586,True,"I am a professional musician, I am a student majoring or minoring in music, I play a musical instrument or sing every day for at least 2 hours per day, OR I am a faculty member teaching music.",Instrumentalist,"Cello, guitar, bass, piano",16 years,16,1,1,,"Classical,Orchestral,Popular,Other",Rock,,,Minor,,,,,Studied privately at a conservatory style institution ,Yes,"Winner of high school concerto competition, all-state orchestra ",Making music with my friends ,The first time I saw a cello soloist with orchestra. The prevalence of the Beatles’s music when I was young.,Performing my solo piece with orchestra was an out of body experience ,Yes,Music has so much embedded emotion that you can hear a song and instantly remember a previous time listening to it.,"Symphony orchestra, friends (both classical and otherwise)",Yes,My parents were both musicians when they were young. They made sure I was listening to abs learning music.,Negative,"Virtual (live),Virtual (pre-recorded)",0,0,4,0,0.5,0,0,0,1,0,4,0,,Negative,Negative,Makes it so much more difficult to gather and make music in a group.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Male
9/19/20 7:04,9/19/20 7:13,IP Address,115.133.248.103,100,564,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Malaysia 20years, China 0.5 years",Mandarin,Malaysia,Mandarin,We speak Mandarin and English at home. We learn Malay in school since kindergarten.,"Malay, mandarin and English is the key language since kindergarten till high school. Three of them are included as a subject in school. ",English was the main language when I engage in professional courses.,Not applicable,Not at all,Neutral,Negative,Negative,Neutral,Neutral,Nope,"Malay, Mandarin and English ",Throughout high school,The language itself,Mandarin ,1,The language itself,,,,,,,,,,,,,TOEFL 114 ,It was part of the school’s curriculum since young.,,Nope,Native-like,18,7,Casual chats,Daily,Daily in conversations,Advanced,20,7,Formal school papers,Daily,Daily in conversations,Advanced,15,5,Rare for now,Monthly,Once in a while in news,,,,,,,21,Female
9/19/20 8:33,9/19/20 8:40,IP Address,152.3.43.40,100,412,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Birthplace: US, have lived in Cuba for 1.5 months x 3-4 times",Spanish ,Cuba,Spanish,Spanish is my first language and the only language I’ve ever spoke with my family ,"Spanish was the language widely spoken by adult members of my city/ community 
English was the language spoken at school and with people my age ","Lived in Cuba for the summers during my childhood, spoke only Spanish for a couple months at a time",Cuba,"Not much, cannot visit family abroad though",Neutral,Negative,Negative,,,—,Spanish,6,Spanish,,,,,,,,,,,,,,,,No,My second language is English. I had to learn it in school. ,,,Spanish,0,"Informal (Facebook, texts): every day, formal: every few weeks","Texts: every day, formal: every few weeks","Before college: every day, in college: every few days",Multiple times a week (music),English,5,Every day ,Every day informally and formally ,Every day,Every day,,,,,,,,,,,,,18,Female
9/19/20 13:25,9/19/20 13:31,IP Address,152.3.43.44,100,333,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calcutta, India",Bengali,"Calcutta, India","English, Bengali, Hindi",Full exposure to all the languages,Full exposure to all the languages,Full exposure to all the languages,Only in Insia,Has not affected,Neutral,Negative,Negative,Negative,Neutral,No comments,"German, French","4, 2","English, Bengali, Hindi",,,,,,,,,,,,,,,,"SAT: 1580
800+800+800 in Subject Tests",I love languages,,None,English (Native),19,7,7,7,7,Bengali (Native),19,7,7,7,7,Hindi (Native),10,7,7,7,7,,,,,,,18,Male
9/19/20 14:26,9/19/20 14:35,IP Address,152.3.43.40,100,573,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States (17 years), China (2 years)",Mandarin Chinese,China,"Mandarin Chinese (at home), English ","English and Chinese, both are spoken at home","English: with friends, in public, online
Chinese: not much","English: in school, in classes
Chinese: with grandparents living abroad, in Chinese classes",China,"cannot travel to China and be in an environment where it was necessary for me to speak Chinese, especially when communicating with my grandmother",Negative,Negative,Negative,Neutral,,N/A,"Chinese, French","6, 4","Chinese, French",Chinese,1,Chinese,,,,,,,,,,,,,"Chinese SAT II: 780
Chinese IB HL: 6","parents taught me at home, not really my conscious decision (technically my first language)",,,Advanced,0,Not Often,Rarely,Often,Not Often,Native,3,Very Often,Very Often,Very Often,Very OFten,,,,,,,,,,,,,19,Female
9/19/20 15:04,9/19/20 15:34,IP Address,172.58.107.240,100,1804,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Instrumentalist,Piano,11 yrs,11,1-2 hours,1.5,,"Classical,Popular",,,X,,,,,,,Yes,Suzuki Music Festival (examination and award),"Composition, and playing for friends and family","Publishing my first music piece, playing for my brother’s wedding",See above,,,"Usually myself, playing for family",No,,Positive,"Virtual (live),Virtual (pre-recorded)",1,0,,,3,0.5,,,,,7,3.5,,Positive,Positive,"Being home all day with my piano in the same room means more room for my own interest-driven practice and composition. Playing with cords, progressions, melodies",United States,Arabic,Syria,Arabic and English,"First developed language: English from school
Second: Arabic from family encounters in the same city that I live in
","Primary language: English at school and work
Second language: Arabic from school language classes
",N/A,United States,"Has increased my use of the second language, Arabic, since I leave the house less often. ",Positive,Negative,Negative,Negative,Negative,I stopped taking language classes one year before COVID. ,Arabic,8,English/Arabic,,,,,,,,,,,,,,,,No,"Language of my family, and Quran (Islam)",,"No hearing problems, I wear prescription glasses. ",English (Native),1 year old,Every day,"Every day: text, formal writing for class",Every day,Every day from lecture and videos ,Arabic (Intermediate),1 year old ,Twice a week,Twice a week: text,Every day,Few times a week from television; every day from family,,,,,,,,,,,,,18,Female
9/19/20 15:27,9/19/20 15:34,IP Address,152.3.43.57,100,420,True,"I am a professional musician, I am a student majoring or minoring in music, I play a musical instrument or sing every day for at least 2 hours per day, OR I am a faculty member teaching music.",Vocalist,"saxophone, guitar",8 years,8,2 hours,2,,"Jazz,Popular,Other",RnB,,yes,yes,no,no,no,no,Voice and Piano Lessons,No,,Being able to play the music I like and collaborate with other artists ,Playing praise music in the church band during praise and worship,"listening to my the ,usic my friends back home would play in the car when we were going out made me nostalgic.",Yes,Recently I was listening to song me and my sister would play on the way to school. I felt like I was on the drive there.,People from my church,Yes,"They basically forced me when I was younger to learn piano. I do not regret it though, my love for music just grew from there.",Negative,"Virtual (live),Virtual (pre-recorded)",2,1,5,5,2,1,0,0,2,0,2,1,,Negative,Positive,I do practice alone more now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Female
9/19/20 15:16,9/19/20 15:45,IP Address,152.3.43.43,100,1728,True,"I am a professional musician, I am a student majoring or minoring in music, I play a musical instrument or sing every day for at least 2 hours per day, OR I am a faculty member teaching music.",Instrumentalist,French horn,3 years,3,2-3,2.5,,"Classical,Orchestral,Popular",,,"Lessons, marching band, concert band, orchestra","Lessons, marching band, orchestra, chamber music",,,,,Phantom Regiment Drum and Bugle Corps 2020 season,No,,"Playing with other people! Also finding a piece that I connect with, whether it be because of its power or beauty. Sometimes both!",Performing the solo for one of our pieces in Phantom Regiment and having the whole ensemble play behind me. ,"Listening to the Dallas Symphony Orchestra play Mahler 5 was the moment I decided to play French horn. Santa Clara Vanguard Drum and Bugle Corps visited my high school senior year (2018), and that inspired me to practice much, much more with the goal of making a DCI ensemble (and it worked out!)",Yes,"Listening to video game music like the soundtrack to Pokemon games or The Legend of Zelda transports me back to when I was younger and played those games with my brother. Although not religious, listening to some old church songs like ""I Can Only Imagine"" reminds me particularly strongly of the church that I grew up in, and my Mom trying to get me to sing along. Listening to Maurice Andre's recording of Albinoni's Adagio in G Minor never fails to make me tear up and make me think of what it must have been like to listen to that in person.","Currently, I'm playing with the marching band and my brass quintet (sufficiently socially distanced, of course). Before pandemic, I was playing with Duke Symphony orchestra, Phantom Regiment, and some miscellaneous chamber groups that needed a horn player.",Yes,"In high school, a good friend of mine was incredible at trumpet and was always an inspiration to me. I suppose that I look up to my instructors more often than my friends when it comes to music, however.",Positive,"In-person and live,Virtual (pre-recorded)",1,1,3,5,1,2,4,6,1,0,10,4,,Negative,Positive,"All the time alone has given me a unique chance to experiment and try new things on my instrument. There is less stress from having a performance or rehearsal right around the corner, and I'm able to take risks and change things about my embouchure that otherwise wouldn't be possible. Also, with not much else to do during the day, I have had more time to dedicate to playing Horn and thoughtfully improving. Consistency in my practicing has been a huge positive to come out of the situation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Male
9/19/20 16:22,9/19/20 17:26,IP Address,123.203.88.247,100,3873,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Student OR Currently receiving formal musical training,"Piano, vocal",more than 10 years,10,,1,1 hour per day,Classical,,,,,X,,,,"Piano, vocal, theory, aural skills, sight-reading",Yes,"Piano Recital ATCL (Associate, Trinity College London)
Music Theory FMusTCL (Fellow, Trinity College London)
Singing Grade 7 (ABRSM)
Second runner-up in Hong Kong Schools Music Festival, Singing, under age 15","Making music with others
Seeing myself have progress
Learning new musical knowledge and aesthetics",Teaching my niece singing and she gave a wonderful performace; start to learn musicology; discovering some wonderful pieces,one time I sang and played piano in front of several hundreds of students and I did some improvisations; the moment I could do vibrato when I sang and the moment I experienced singing in the pharynx ,,,"others fellow students, people who are in the same choir",Yes,musical knowledge; introduce me to some other pieces or instruments,Negative,"In-person and live,Virtual (live),Virtual (pre-recorded)",1,1,1.4,10 hours per week,,,,,,,2,1,Neutral,Negative,Positive,There is one big performance that I wish to participate in needs to be cancelled.,"Hong Kong 32 years
Italy 2 years
US 4 years",Chinese (Cantonese),Hong Kong (China),Chinese,"Only using my first language (Cantonese) in my family. Second language (English) was seen as an academic subject that my parents instructed me when I was an elementary school pupil
Third language (Mandarin Chinese) is used when communicating with people who come from Mainland China","First language (Cantonese in colloquial form) spoken in daily life, sometimes with code-mixing
First language in written form (written in formal Chinese) in popular culture, e.g. newspaper, magazines, lyrics of popular songs
English as the language in the workplace and university, e.g. email communications, presentations and meetings where there are Westerners, sometimes friends communicate in English in text messages (a matter of habit as in workplace/ personal preference/ some people don't know the Chinese input method)",First language is rarely used in my study abroad. Second language (English) is widely used when I am staying in any foreign countries. Third language (Mandarin) is often used when I get along with my Chinese friends. Fourth language (Italian) was always used and listened to when I studied in Italy.,The US and Italy,not much.,Neutral,Negative,Positive,Negative,,"Zoom sessions offer more opportunities for people from different countries to meet. People now are more used to this kind of communication. Before COVID, it's weird to ask a friend who don't stay in the same place to have a zoom meeting (sometimes not even video call). Now people have got used to it. It is natural to have meetings with people from different countries in a single day. It helps in improve my language ability.",English,14,English and some Chinese,,,,,,,French,5,English,"Italian, German","1, 1",English,,,,"TOEFL (104)
IELTS (7.5)
Italian (PLIDA - Progetto Lingua Italiana Dante Alighieri - pass in C1 level)","English - compulsory
Italian - interested in the culture",,no,Cantonese: Native,2,7,7,7,7,English: Advanced,4,7,7,6,7,Mandarin: Native-like,10,5,6,5,5,Italian: Advanced,24,4,5,3,4,39,Female
